Trumpet2,,0.00488211628164,0.0316592114046 0.0424508973501,-0.0217309156408 0.0181113284083,-0.0136634465787 -0.0150920936261,0.00685652619563 -0.00257339036237,0.00708425413233 0.0147627349067,-0.000767559500632 0.0057337881035,0.014512198983 0.0383135901482,-0.0425037065109 0.0355878483886,-0.0255378380634 -0.00607220912785,0.019174664603 -0.0179242013753,
Trumpet2,,0.00456208783867,0.0296785939745 0.0427156020878,-0.021983578397 0.015138024555,-0.00903805552854 -0.0198268070219,0.011542506993 4.63584101091e-05,0.00837857375406 0.0166007003069,0.00326331967995 0.0077105566996,0.0010875992534 0.0447516569176,-0.0492272119695 0.0210236799127,-0.0209889148027 -0.00779235638169,0.0251849497319 -0.011227263414,
Trumpet2,,0.00441309707724,0.0304248924594 0.0427968765505,-0.0226574172335 0.0151885008131,-0.0107802364365 -0.0187565834725,0.00925806512463 0.000830467691669,0.0058700528436 0.0173594426349,0.00289008729211 0.00920968461713,0.00785837036296 0.0394517097231,-0.0502071086853 0.0289716438823,-0.0172210664123 -0.011768909161,0.0273138116265 -0.014363961448,
Trumpet2,,0.00481121802965,0.0292367438571 0.0421765392364,-0.0215971801859 0.0144577775393,-0.00448923406364 -0.0232967500229,0.00836755506205 0.00523156772229,0.00675925620628 0.0183171636928,0.00390338223534 0.020335547801,-0.0109635969809 0.0376765718238,-0.0478866736371 0.00450174946661,0.00122530161833 -0.011167472697,0.0298819050387 0.00192106571344,
Trumpet2,,0.00437144000278,0.0317508742489 0.0420824596164,-0.0211735292452 0.0179056077321,-0.0136702774412 -0.0149465134549,0.00759702985354 -0.00280758618568,0.00819316668998 0.0142053308108,-0.000971972405697 0.00502787822446,0.0148640664535 0.0387820128686,-0.0399325039767 0.0372108401399,-0.0276010561784 -0.0034841367909,0.0172279375532 -0.0194681247834,
Trumpet2,,0.00513774451181,0.0304928047954 0.0429935489893,-0.021645684113 0.0169939532506,-0.0119877644472 -0.0160532781383,0.00911882390413 -0.00257143139077,0.00684360373765 0.0153117897406,-0.000668028340321 0.00412003142809,0.00864483359719 0.0420071429904,-0.0450175806793 0.0306422821402,-0.0269902835994 -0.00797098114088,0.0214554915826 -0.0166993550079,
Trumpet2,,0.00395533340487,0.0292902488173 0.0428033956818,-0.0226673274464 0.0144076634015,-0.0075735530152 -0.0213751928226,0.0109323430198 0.00242517018827,0.00743985348239 0.0173362091992,0.00408372094497 0.010009848157,0.00184845075036 0.0435377582998,-0.0489327668638 0.0236487996249,-0.0172224065498 -0.00549003141972,0.0275620705269 -0.0112440638081,
Trumpet2,,0.0047041164152,0.0296559908314 0.0418010491712,-0.0206137761534 0.0145577884433,-0.00433433952241 -0.0223393794262,0.00831078121618 0.00367600625513,0.00613763109673 0.0174833123263,0.00353282743383 0.0172520942196,-0.0109083780601 0.0376845588512,-0.0486259056144 0.00223654237513,0.000710033906457 -0.014380102419,0.0305060326828 0.00225049787563,
Trumpet2,,0.00494222314616,0.0288424227431 0.0417527494273,-0.0220895126584 0.0135348313577,-0.00293985642724 -0.0240193463106,0.00898485928166 0.00524046620188,0.00502513508181 0.0182198173124,0.00228283002371 0.0179090851191,-0.0110339489513 0.0381655222954,-0.0504722902189 0.00441431473608,0.0012079068031 -0.0111290510997,0.0302748268385 0.00455906441382,
Trumpet2,,0.00542423842968,0.030830233473 0.042707163761,-0.022125353471 0.0152528454987,-0.0105926501195 -0.0185569583527,0.00929635958609 -0.000490188007197,0.00646028697212 0.0170655070215,0.00241431468728 0.00815085106497,0.00459440315345 0.0417221849683,-0.0501330360787 0.023438664487,-0.017096061429 -0.0110978614864,0.0263965247038 -0.010879237021,
Trumpet2,,0.00631272928799,0.0290587913391 0.041209592118,-0.020619600361 0.0138117986017,-0.00381682613329 -0.0207642063116,0.00812407443349 0.00274485997395,0.00306499001911 0.0161393904835,0.00123144033876 0.0124397938529,-0.00970000963515 0.0373936908765,-0.0491412134375 -0.00059302078151,0.000303751789587 -0.0171652996102,0.0306755891585 0.00524455047028,
Trumpet2,,0.00368299593075,0.0310154944437 0.0415076550293,-0.021604263996 0.0175316264474,-0.0144597048519 -0.0148724226301,0.00826310612246 -0.00293867703976,0.00851105314241 0.0143484636658,-0.00046336212598 0.00443809627771,0.0154850941593 0.0410986624308,-0.0398465712485 0.0366437456965,-0.027773887069 -0.00299489188558,0.0163092584548 -0.0200931161303,
Trumpet2,,0.00504398708563,0.028453541948 0.0425261598615,-0.0222290013693 0.013026857692,-0.00254234376735 -0.0247652736771,0.0103592014503 0.00594613190616,0.00670107535676 0.0194497321138,0.00389951375407 0.01999307124,-0.012498193096 0.0395488069581,-0.050327624193 0.00432288088275,0.000578704505181 -0.00899813582678,0.0295120765229 0.00343378551542,
Trumpet2,,0.00390625000002,0.0316316878106 0.0427917347261,-0.0224976028229 0.0171830079184,-0.0121351262963 -0.016021761206,0.00780211129691 -0.00188042759245,0.00684252173406 0.0153731424568,0.000843666414071 0.0068452208133,0.0121136346968 0.0394158987218,-0.0463620708615 0.0349147382637,-0.0224766655045 -0.00674671387742,0.0221918412757 -0.0172801784779,
Trumpet2,,0.00487979555275,0.0293196280989 0.0410769958884,-0.0203134801603 0.0145199415598,-0.00625159160869 -0.0210512334157,0.00835747458755 0.00223623915209,0.00633956688288 0.0170208393445,0.00429149138657 0.0136924709231,-0.00710685125648 0.03920557237,-0.048890122619 0.00743473501383,-0.00569932091841 -0.0157841668673,0.0289235885898 -0.00194904234135,
Trumpet2,,0.00406696043976,0.0320889057381 0.0423333753393,-0.0207280567958 0.0182192058731,-0.01408245804 -0.0149668545009,0.00731253360011 -0.00336867036665,0.00805960827569 0.0142907638819,-0.00145042533769 0.00509470451717,0.0142376526546 0.0389818608399,-0.0413004486093 0.0355733502223,-0.0260224040314 -0.00454552859978,0.0178825743877 -0.0186987230696,
Trumpet2,,0.00560270244159,0.0289846533311 0.0431724611206,-0.0224267770752 0.0134189882197,-0.00510737445509 -0.0226142890208,0.0106321117193 0.00337289817666,0.00666239308426 0.0188293989081,0.0036501957901 0.0131537695135,-0.00694304406096 0.042289005377,-0.0528772897054 0.0116435780325,-0.0114571415648 -0.00900452543243,0.0298110651597 -0.00354692188642,
Trumpet2,,0.00541808849967,0.0291987764045 0.0410030122052,-0.0207246121484 0.0151594950515,-0.00523140357066 -0.021221000725,0.00706656182968 0.00299622118659,0.00458223639272 0.0166157156023,0.00181925647496 0.0161244429715,-0.00637390422958 0.036520989278,-0.0474479739931 0.00699023111755,-0.000759165466177 -0.0133492569303,0.0298976760325 0.00146804376755,
Trumpet2,,0.00565132170104,0.0286011742128 0.0437581316142,-0.0215376153696 0.0129833489364,-0.00264180979427 -0.0231841494422,0.0109087353833 0.0047800636037,0.00658676693182 0.0198305645575,0.00406240499603 0.017586210422,-0.0132936072256 0.0393402096143,-0.0516477187114 0.00353020893968,-0.00426449479703 -0.00733562668567,0.0305560432045 0.00276150613433,
Trumpet2,,0.00563484452984,0.0279995599668 0.0423879275565,-0.0224105291099 0.0123201654122,-0.002160437505 -0.0237129105562,0.0103626265608 0.00505673625871,0.00479979848053 0.0185954082646,0.0023369799071 0.0162154528593,-0.0117673993389 0.0391532341724,-0.053406188619 0.00333401925097,-0.00185972722056 -0.00938399649765,0.0311791005978 0.0039749296868,
