,,(1.67080827602e-10+0.000517826654295j),(-0.000140946796993+2.05146821772e-05j),(-6.48071073585e-05+4.56051708222e-06j),(-4.49565912464e-05+5.05378690927e-06j),(-3.46797251846e-05+3.28396699698e-06j),(-2.82410636787e-05+2.31451871511e-06j),(-2.39742380871e-05+1.71216736764e-06j),(-2.07899679026e-05+1.22793985484e-06j),(-1.82807359038e-05+8.42116343664e-07j),(-1.62729469031e-05+5.96293346585e-07j),(-1.47407181437e-05+4.09573644617e-07j),(-1.35101719978e-05+2.35324485927e-07j),(-1.25072094145e-05+2.54826470581e-07j),(-1.15320203791e-05+2.13817897309e-07j),(-1.05832998322e-05+1.66331131792e-07j),(-9.84738563164e-06+1.0734893942e-07j),(-9.22821558116e-06+9.41735988e-08j),(-8.70964269912e-06+5.95540764803e-08j),(-8.31052210845e-06+1.97670606796e-08j),(-7.9410037504e-06-1.99678218267e-08j),(-7.56420397289e-06-5.30540265388e-08j),
,,(1.54184942004e-10+0.000480547237884j),(-0.000132342838395+2.22279507799e-05j),(-6.15902341604e-05+4.45853025836e-06j),(-4.28082017433e-05+4.62371474613e-06j),(-3.31451628202e-05+3.00705237945e-06j),(-2.69488888804e-05+2.06315864392e-06j),(-2.29481096999e-05+1.47559473921e-06j),(-1.98853788939e-05+1.01909646421e-06j),(-1.74664978083e-05+6.44036897929e-07j),(-1.55588622712e-05+3.98510729844e-07j),(-1.40633365639e-05+2.18161245944e-07j),(-1.28916850432e-05+3.16563892897e-08j),(-1.19510001533e-05+4.03641363711e-08j),(-1.10150728219e-05-1.24674706305e-08j),(-1.01133439804e-05-9.13218207941e-08j),(-9.44344435778e-06-1.63987637677e-07j),(-8.82352885039e-06-1.63929866126e-07j),(-8.39558563433e-06-2.08138474843e-07j),(-8.02123908196e-06-2.39879612871e-07j),(-7.65719319929e-06-2.63199216616e-07j),(-7.32086537873e-06-3.01486563065e-07j),
,,(1.46582277336e-10+0.00045749479519j),(-0.000125902899577+2.29309689894e-05j),(-5.8870463586e-05+4.13257588457e-06j),(-4.09807486023e-05+4.44666804246e-06j),(-3.17281943096e-05+2.86389700533e-06j),(-2.58612518804e-05+1.89121596805e-06j),(-2.2050787314e-05+1.35313277897e-06j),(-1.91361334018e-05+9.20459498724e-07j),(-1.68378200445e-05+5.61710617548e-07j),(-1.5016819008e-05+3.13850482352e-07j),(-1.36136384255e-05+1.4092017176e-07j),(-1.24824934196e-05+1.75739272667e-08j),(-1.15783417107e-05+4.59997805183e-08j),(-1.07001982292e-05+3.10919613093e-08j),(-9.78939745343e-06+1.42447776585e-08j),(-9.11064745658e-06-7.35095907955e-08j),(-8.50999228701e-06-8.48238169808e-08j),(-8.03764134755e-06-1.24182261132e-07j),(-7.70539180579e-06-1.91193251413e-07j),(-7.39609443886e-06-2.40998347266e-07j),(-7.05118705463e-06-2.80059070403e-07j),
,,(1.36908313883e-10+0.000427873862493j),(-0.00012113671517+2.36411731919e-05j),(-5.67157347738e-05+4.84805027159e-06j),(-3.9409415602e-05+4.70653335893e-06j),(-3.04838583424e-05+3.11760733754e-06j),(-2.48698321606e-05+2.18888828113e-06j),(-2.118036404e-05+1.67418420791e-06j),(-1.83634845348e-05+1.2114252064e-06j),(-1.61468116701e-05+8.74036949068e-07j),(-1.43998273072e-05+6.2682426853e-07j),(-1.3021479457e-05+4.514119353e-07j),(-1.19345919742e-05+3.08062141097e-07j),(-1.10459714422e-05+2.88954528119e-07j),(-1.01806430506e-05+2.87583012114e-07j),(-9.28114122677e-06+2.13577658891e-07j),(-8.63392518649e-06+1.6094811559e-07j),(-8.08105711298e-06+1.32274947762e-07j),(-7.60262928691e-06+8.61332075498e-08j),(-7.28602937901e-06+1.7102389388e-08j),(-6.99210427288e-06-3.4853543594e-08j),(-6.65457895795e-06-7.93426554736e-08j),
,,(1.29470744243e-10+0.000416489175594j),(-0.000121726532353+2.3666623121e-05j),(-5.66995091531e-05+4.91538515561e-06j),(-3.93391374142e-05+4.6073011942e-06j),(-3.04944972186e-05+2.97069206243e-06j),(-2.48788229741e-05+2.06089072626e-06j),(-2.11804541384e-05+1.52624388339e-06j),(-1.83426299858e-05+1.04090375979e-06j),(-1.61078037742e-05+7.0489711742e-07j),(-1.4353028236e-05+4.42453767613e-07j),(-1.29959399938e-05+2.5439554066e-07j),(-1.18942452458e-05+9.14422626987e-08j),(-1.10351747952e-05+1.16877042592e-07j),(-1.01688988536e-05+7.87335253163e-08j),(-9.30764891106e-06+1.41455256497e-08j),(-8.6668428505e-06-7.8199959629e-08j),(-8.12084376863e-06-1.04637832255e-07j),(-7.66253117227e-06-1.2957807401e-07j),(-7.36902267316e-06-2.10727241606e-07j),(-7.05977370735e-06-2.46144017662e-07j),(-6.74237406323e-06-2.92923927739e-07j),
,,(1.29108128891e-10+0.00039824995329j),(-0.000116317330369+2.21398068813e-05j),(-5.44211832589e-05+4.82202666293e-06j),(-3.76563191332e-05+4.62105216837e-06j),(-2.92079849183e-05+3.01773479636e-06j),(-2.38568998606e-05+2.1256303731e-06j),(-2.02900155566e-05+1.63087019379e-06j),(-1.76103601244e-05+1.14034836841e-06j),(-1.54670316991e-05+7.65057472841e-07j),(-1.37893211388e-05+5.55052154708e-07j),(-1.24664701605e-05+3.74341426466e-07j),(-1.14442434341e-05+2.15925851653e-07j),(-1.05903622796e-05+2.26916738234e-07j),(-9.75974930406e-06+1.89934877435e-07j),(-8.9440102606e-06+1.58203339172e-07j),(-8.31382497598e-06+7.95481689167e-08j),(-7.78853688032e-06+8.67416902444e-08j),(-7.33109521342e-06+3.70953712518e-08j),(-7.04804376779e-06-1.74130559642e-09j),(-6.74832161383e-06-8.05961701404e-08j),(-6.39442968988e-06-1.15070498827e-07j),
,,(1.20037189668e-10+0.000382931748223j),(-0.000112540631091+2.17695048743e-05j),(-5.27664095654e-05+4.98194562004e-06j),(-3.66760238044e-05+4.46969292828e-06j),(-2.85080399802e-05+2.88189546199e-06j),(-2.32794169288e-05+1.98331300706e-06j),(-1.98292293557e-05+1.49478204149e-06j),(-1.71784127529e-05+1.04559635622e-06j),(-1.51236078162e-05+7.15559696109e-07j),(-1.35013567712e-05+5.12862228074e-07j),(-1.22380643899e-05+3.30846157082e-07j),(-1.12278838201e-05+2.02873239747e-07j),(-1.03948532246e-05+2.30924600186e-07j),(-9.57478205257e-06+2.20038959672e-07j),(-8.75158567933e-06+2.14919300295e-07j),(-8.11568799607e-06+1.17688467541e-07j),(-7.61046553552e-06+1.05052304254e-07j),(-7.1575790022e-06+6.63242120018e-08j),(-6.8950346234e-06-1.4310601577e-08j),(-6.56656225673e-06-3.83962023834e-08j),(-6.24303023364e-06-8.39591104789e-08j),
,,(1.18246289745e-10+0.000375058010677j),(-0.000110118632301+2.15382444974e-05j),(-5.19242878194e-05+5.05365313467e-06j),(-3.61147202526e-05+4.39467139988e-06j),(-2.80680596019e-05+2.85069569094e-06j),(-2.29119129432e-05+2.01418940624e-06j),(-1.9508368973e-05+1.51149831016e-06j),(-1.68879896254e-05+1.05696241521e-06j),(-1.48354276559e-05+7.10304815788e-07j),(-1.32162063722e-05+4.99808501945e-07j),(-1.19319806499e-05+2.52908819036e-07j),(-1.09699978133e-05+1.25863604753e-07j),(-1.01561221885e-05+9.52901059117e-08j),(-9.38631374928e-06+6.74610992091e-08j),(-8.60928257448e-06+1.66888602685e-08j),(-7.98788628469e-06-5.77330397544e-08j),(-7.4797514179e-06-6.28144478765e-08j),(-7.09397725041e-06-9.85941554558e-08j),(-6.82211347944e-06-1.35528421725e-07j),(-6.52411839496e-06-1.53272973165e-07j),(-6.21839175992e-06-1.8077483621e-07j),
,,(1.1377588635e-10+0.000363187654372j),(-0.000108204029397+2.20050646847e-05j),(-5.10993865341e-05+5.20921204964e-06j),(-3.55295302224e-05+4.45443016372e-06j),(-2.76268548057e-05+2.89780875475e-06j),(-2.25513428604e-05+2.00603892614e-06j),(-1.9201324848e-05+1.50593416456e-06j),(-1.66452961851e-05+1.06167558869e-06j),(-1.46706542951e-05+7.1616344205e-07j),(-1.30673359676e-05+4.82764143685e-07j),(-1.18259769748e-05+3.17089794783e-07j),(-1.0869097665e-05+1.91919930831e-07j),(-1.01081952275e-05+2.13654604194e-07j),(-9.29311915982e-06+1.98787838796e-07j),(-8.47259509086e-06+1.88469677443e-07j),(-7.84243508417e-06+1.06210201538e-07j),(-7.32080549737e-06+8.48419010925e-08j),(-6.9185582628e-06+3.87062617139e-08j),(-6.61036215375e-06-2.73649925546e-08j),(-6.32463330605e-06-9.67947715256e-08j),(-6.01341388888e-06-1.24638518972e-07j),
,,(1.11901357394e-10+0.000357450454564j),(-0.000106935602418+2.22277074361e-05j),(-5.04251748998e-05+5.37859176377e-06j),(-3.50958331859e-05+4.55567981614e-06j),(-2.72851209652e-05+3.03092022288e-06j),(-2.22596000301e-05+2.12680110527e-06j),(-1.89690100693e-05+1.61450188388e-06j),(-1.64368804464e-05+1.16029794251e-06j),(-1.44856777579e-05+8.44653676473e-07j),(-1.28685519395e-05+5.90606475475e-07j),(-1.16687933932e-05+4.41221176887e-07j),(-1.06951141244e-05+2.72766550539e-07j),(-9.90119279417e-06+2.90612733584e-07j),(-9.16078296728e-06+2.66135213992e-07j),(-8.36390134287e-06+2.26931569513e-07j),(-7.79565250375e-06+1.74445966172e-07j),(-7.28933756031e-06+1.58086319494e-07j),(-6.90194652801e-06+1.46751912084e-07j),(-6.60567169052e-06+9.43983953218e-08j),(-6.30787127923e-06+7.57137326885e-08j),(-5.98286956921e-06+3.78634003796e-08j),
,,(1.12916766045e-10+0.000348750069496j),(-0.000105176618719+2.22095193452e-05j),(-4.96368795445e-05+5.31931662306e-06j),(-3.45609049894e-05+4.39612227363e-06j),(-2.68961508213e-05+2.85811134785e-06j),(-2.19778296796e-05+1.95400705015e-06j),(-1.87141313943e-05+1.49361015e-06j),(-1.62279224088e-05+9.89255672722e-07j),(-1.43007020036e-05+6.94683235838e-07j),(-1.27220043757e-05+4.38413523846e-07j),(-1.15251787754e-05+2.57787766981e-07j),(-1.05937163726e-05+1.66771037165e-07j),(-9.81545417299e-06+1.52351543186e-07j),(-9.04242837547e-06+1.47692807469e-07j),(-8.27585124756e-06+9.81540126652e-08j),(-7.71366622457e-06+4.58030334149e-08j),(-7.22273881646e-06+3.23334319393e-08j),(-6.79287656457e-06-1.05446772649e-09j),(-6.4984887047e-06-4.68057375624e-08j),(-6.23087317959e-06-8.51420765728e-08j),(-5.91861607095e-06-1.26656334917e-07j),
,,(1.1041021259e-10+0.000346934062218j),(-0.000105581943758+2.27330605232e-05j),(-4.96813675482e-05+5.54427943757e-06j),(-3.4607606111e-05+4.4907795242e-06j),(-2.69115403971e-05+2.87122643424e-06j),(-2.20029353104e-05+1.96912405691e-06j),(-1.87490848212e-05+1.436451771e-06j),(-1.62861259525e-05+1.02314795995e-06j),(-1.43297089718e-05+6.99571250874e-07j),(-1.2765881125e-05+4.32727978797e-07j),(-1.15993012281e-05+2.93652540047e-07j),(-1.06711943926e-05+1.50159107227e-07j),(-9.86494810837e-06+1.4631199589e-07j),(-9.12510896083e-06+1.58880019795e-07j),(-8.34367155771e-06+9.78031700175e-08j),(-7.77683386391e-06+7.42376640389e-08j),(-7.28968818106e-06+5.80932229194e-08j),(-6.89047674919e-06+3.49155311144e-08j),(-6.60383872614e-06+1.31834199106e-08j),(-6.30463361293e-06-3.76737986043e-08j),(-6.01153851192e-06-6.95415654784e-08j),
,,(1.06851970329e-10+0.000344368425821j),(-0.000104257915253+2.24182054286e-05j),(-4.92919650102e-05+5.60411546804e-06j),(-3.43688191383e-05+4.49684589266e-06j),(-2.67846693566e-05+2.90416694366e-06j),(-2.18853124676e-05+2.00486954187e-06j),(-1.8653740991e-05+1.50512246645e-06j),(-1.61845818237e-05+1.05327245378e-06j),(-1.42507447782e-05+7.49722790214e-07j),(-1.2679745773e-05+5.24998356504e-07j),(-1.14865421494e-05+3.74665014377e-07j),(-1.05399245188e-05+2.09187362497e-07j),(-9.77120473284e-06+2.31189755496e-07j),(-9.01425145893e-06+1.87199107896e-07j),(-8.26271615654e-06+1.47628502162e-07j),(-7.6895153567e-06+8.2784696772e-08j),(-7.20709537699e-06+8.88581764883e-08j),(-6.8211919359e-06+6.21747766326e-08j),(-6.51436646408e-06+5.80636281878e-09j),(-6.25288130471e-06-1.44931322363e-08j),(-5.94570638584e-06-5.50861049421e-08j),
,,(1.05511483593e-10+0.000340099170242j),(-0.000102786053197+2.2260836914e-05j),(-4.8779934348e-05+5.58931386401e-06j),(-3.40332478523e-05+4.41365243509e-06j),(-2.65197813473e-05+2.88928269464e-06j),(-2.1666402465e-05+2.00131451473e-06j),(-1.84526672829e-05+1.51173855054e-06j),(-1.59852409207e-05+1.07924571368e-06j),(-1.4070837847e-05+7.43739713562e-07j),(-1.25146323955e-05+5.09532115153e-07j),(-1.13539881291e-05+3.15635649112e-07j),(-1.04153867266e-05+1.66618506913e-07j),(-9.66387632993e-06+1.58927250435e-07j),(-8.90351195883e-06+1.34274851165e-07j),(-8.19419027853e-06+1.02334821988e-07j),(-7.59234683549e-06+7.19812643536e-08j),(-7.11253844022e-06+7.25023842147e-08j),(-6.68967028959e-06+3.15247446866e-08j),(-6.41451649121e-06-1.89862047612e-08j),(-6.12956049389e-06-8.31349654539e-08j),(-5.8255167685e-06-1.54926499244e-07j),
,,(1.04281720067e-10+0.000334096862733j),(-0.000101051165477+2.27741789438e-05j),(-4.8206962745e-05+5.88292498097e-06j),(-3.3598849218e-05+4.65147272286e-06j),(-2.61873119755e-05+3.12091680129e-06j),(-2.13796582919e-05+2.223651744e-06j),(-1.82214607975e-05+1.73674911321e-06j),(-1.57948170678e-05+1.29821145255e-06j),(-1.3867202146e-05+9.67205739076e-07j),(-1.23191457625e-05+7.19845051882e-07j),(-1.1166352427e-05+5.73725722449e-07j),(-1.02333886233e-05+4.11192637445e-07j),(-9.48475967216e-06+4.04088411146e-07j),(-8.7402243799e-06+3.64838622539e-07j),(-7.99273807446e-06+3.43995634744e-07j),(-7.3993206122e-06+2.5650032798e-07j),(-6.9172223783e-06+2.95145225835e-07j),(-6.5212471029e-06+2.49019063069e-07j),(-6.22874771857e-06+1.80810239268e-07j),(-5.94448999635e-06+1.69704934317e-07j),(-5.64552903086e-06+9.75247018767e-08j),
,,(1.03344715709e-10+0.000328713062594j),(-9.97501605094e-05+2.27496256698e-05j),(-4.77046041281e-05+5.71637651084e-06j),(-3.32537232559e-05+4.39373639247e-06j),(-2.5946362129e-05+2.85602376028e-06j),(-2.11975364327e-05+1.93181800089e-06j),(-1.80819282805e-05+1.42698741133e-06j),(-1.57138328522e-05+9.94735076342e-07j),(-1.38315582763e-05+6.84415865262e-07j),(-1.23329435553e-05+4.62241421044e-07j),(-1.11696017243e-05+3.30767944444e-07j),(-1.02447683156e-05+1.78360352724e-07j),(-9.48118249809e-06+1.77063062527e-07j),(-8.75435042234e-06+1.71953795857e-07j),(-7.97528971149e-06+1.24733030181e-07j),(-7.39987455952e-06+2.77312860809e-08j),(-6.9381745466e-06+1.06073387045e-08j),(-6.56254660789e-06-3.89401322529e-08j),(-6.31524267104e-06-7.19433925658e-08j),(-6.06436746508e-06-9.85981426063e-08j),(-5.76694017949e-06-1.26542927794e-07j),
,,(1.01721378421e-10+0.000326447350141j),(-9.91727823594e-05+2.3043162735e-05j),(-4.76433442967e-05+5.72293817815e-06j),(-3.32077854926e-05+4.40590947278e-06j),(-2.59017529395e-05+2.85925121643e-06j),(-2.11761527954e-05+1.94018757811e-06j),(-1.80777552301e-05+1.43375611356e-06j),(-1.56868140887e-05+9.95569659907e-07j),(-1.38145248158e-05+6.86971374108e-07j),(-1.23156738757e-05+4.59749034952e-07j),(-1.11686167549e-05+2.9954400245e-07j),(-1.0261234534e-05+1.50056414741e-07j),(-9.51749084744e-06+1.81069819864e-07j),(-8.77014816364e-06+1.63366903052e-07j),(-8.02740624379e-06+1.27617994117e-07j),(-7.4505546369e-06+5.98954558193e-08j),(-6.95658817522e-06+8.30867906248e-08j),(-6.58945058814e-06+1.50773722258e-08j),(-6.31140956512e-06-1.75874086207e-08j),(-6.0481069654e-06-5.96633882188e-08j),(-5.74179379032e-06-9.59946398632e-08j),
,,(9.96641215298e-11+0.000322552922786j),(-9.85908257117e-05+2.36203735579e-05j),(-4.73398143345e-05+5.98123522597e-06j),(-3.30133865859e-05+4.62093520637e-06j),(-2.57172313386e-05+3.06650529419e-06j),(-2.10040031114e-05+2.14066024158e-06j),(-1.7914732444e-05+1.62591287014e-06j),(-1.55565058827e-05+1.16302260236e-06j),(-1.36895850126e-05+8.26631374596e-07j),(-1.22130061027e-05+5.83250038493e-07j),(-1.10970790836e-05+4.47106465325e-07j),(-1.01946747634e-05+3.09983883907e-07j),(-9.4353882345e-06+3.51273569279e-07j),(-8.69915096254e-06+3.43596091683e-07j),(-7.94762831888e-06+3.28186526284e-07j),(-7.3606880236e-06+2.32851580241e-07j),(-6.88282694121e-06+2.36113824102e-07j),(-6.49668647842e-06+1.92318004967e-07j),(-6.22122990692e-06+1.36411558424e-07j),(-5.96487591004e-06+1.22772132671e-07j),(-5.64076004032e-06+7.35938591938e-08j),
,,(1.00905200626e-10+0.000319046414993j),(-9.78185270476e-05+2.39101954515e-05j),(-4.70474482921e-05+6.02631081885e-06j),(-3.28109250719e-05+4.61530612136e-06j),(-2.5588936419e-05+3.05220955526e-06j),(-2.09245221956e-05+2.12122193209e-06j),(-1.78594505633e-05+1.65691282848e-06j),(-1.55109521907e-05+1.20042639376e-06j),(-1.36661936799e-05+8.96394899768e-07j),(-1.21494975879e-05+6.77098176702e-07j),(-1.10024334919e-05+5.13324880692e-07j),(-1.01087467281e-05+3.47939525875e-07j),(-9.37863572842e-06+3.69695094514e-07j),(-8.65172363475e-06+3.37701354452e-07j),(-7.91144873043e-06+2.94931951421e-07j),(-7.3545905913e-06+2.49561923898e-07j),(-6.88392372269e-06+2.87197465994e-07j),(-6.47738738107e-06+2.75965110526e-07j),(-6.16742926443e-06+2.18843944232e-07j),(-5.90062877106e-06+1.63717453996e-07j),(-5.60924783927e-06+1.17976900906e-07j),
,,(9.87718538319e-11+0.000311805324201j),(-9.74167951672e-05+2.47374693414e-05j),(-4.67459416285e-05+6.24408794613e-06j),(-3.26154885481e-05+4.56988912261e-06j),(-2.55025921097e-05+3.0348268368e-06j),(-2.08288278036e-05+2.15442194556e-06j),(-1.77535104206e-05+1.64154040995e-06j),(-1.54181780159e-05+1.16512726216e-06j),(-1.36023962117e-05+8.56670943875e-07j),(-1.20907417925e-05+6.44502845767e-07j),(-1.09609855756e-05+4.84213155453e-07j),(-1.00646611995e-05+3.77580759091e-07j),(-9.30193219069e-06+3.57376175576e-07j),(-8.58053670268e-06+3.23821071086e-07j),(-7.84988814976e-06+2.97032062489e-07j),(-7.27981449787e-06+2.30422680689e-07j),(-6.7976246393e-06+2.19808736548e-07j),(-6.41938155968e-06+1.82956181229e-07j),(-6.15854780931e-06+1.36359586575e-07j),(-5.91012380997e-06+9.61187364885e-08j),(-5.61276946656e-06+7.82055246222e-08j),
,,(1.17201522426e-10+0.000336790895383j),(-8.64945043687e-05+1.22246346456e-05j),(-4.33472221103e-05+6.67043217027e-06j),(-3.08359841368e-05+4.37987206928e-06j),(-2.40784749176e-05+2.76226653991e-06j),(-1.97568870076e-05+1.88411068506e-06j),(-1.69306245744e-05+1.42474076859e-06j),(-1.46666150821e-05+9.76751832938e-07j),(-1.29210364703e-05+6.51390117735e-07j),(-1.15182514004e-05+4.54228457976e-07j),(-1.04713128739e-05+2.8445528034e-07j),(-9.63771212215e-06+1.54947901568e-07j),(-8.92964420861e-06+1.35677631833e-07j),(-8.22975702681e-06+1.56254370132e-07j),(-7.49181502962e-06+1.26390014583e-07j),(-6.99293325999e-06+4.98354053034e-08j),(-6.51342099171e-06+7.29487323221e-08j),(-6.16945952483e-06+2.05698922301e-08j),(-5.89315182925e-06-2.11248367849e-08j),(-5.63371825361e-06-7.89827884489e-08j),(-5.38674141395e-06-1.31781883708e-07j),
,,(1.19764424796e-10+0.000352858187155j),(-8.70780640586e-05+1.25782522137e-05j),(-4.37433842631e-05+6.74980126669e-06j),(-3.10898016952e-05+4.69245522719e-06j),(-2.42650717309e-05+2.99470163959e-06j),(-1.97997341027e-05+2.10626141206e-06j),(-1.6922660833e-05+1.60165100262e-06j),(-1.46697406445e-05+1.15473960587e-06j),(-1.29528154578e-05+8.6218484801e-07j),(-1.15005340046e-05+6.1021435467e-07j),(-1.04412860235e-05+4.48279746935e-07j),(-9.58559292951e-06+2.86857431554e-07j),(-8.88807020959e-06+2.9818789122e-07j),(-8.17742457285e-06+2.56208826199e-07j),(-7.47721247315e-06+2.04565823245e-07j),(-6.93808174503e-06+1.52942100111e-07j),(-6.50354604097e-06+1.60185202178e-07j),(-6.08994957324e-06+1.50184782469e-07j),(-5.82952627768e-06+7.11146811082e-08j),(-5.58751123216e-06+4.50888477586e-08j),(-5.31056324299e-06-1.6769042221e-08j),
,,(1.24642365414e-10+0.000357950993896j),(-8.79639429753e-05+1.27556150816e-05j),(-4.43944108361e-05+6.40084138894e-06j),(-3.14955826623e-05+4.44482185463e-06j),(-2.45807050919e-05+2.77798791181e-06j),(-2.01018388662e-05+1.8375443478e-06j),(-1.71464339198e-05+1.34078091249e-06j),(-1.48954995522e-05+9.147949007e-07j),(-1.31390401936e-05+5.56799872056e-07j),(-1.1711817302e-05+3.39638541191e-07j),(-1.06523824699e-05+1.33825186079e-07j),(-9.81730236941e-06-1.50322065125e-08j),(-9.12012600359e-06+1.02938578e-08j),(-8.44519286397e-06+8.78262412675e-09j),(-7.69751026534e-06+8.49499846414e-09j),(-7.1641554971e-06-4.31963824118e-08j),(-6.69558916582e-06-5.00971950473e-08j),(-6.36941163623e-06-8.46955289674e-08j),(-6.09585118369e-06-1.31033567705e-07j),(-5.84519063442e-06-1.4751857523e-07j),(-5.54456989394e-06-1.78927157576e-07j),
,,(1.25849569097e-10+0.000362157071069j),(-8.7998129485e-05+1.32198633663e-05j),(-4.45894582856e-05+6.46261342146e-06j),(-3.17070629317e-05+4.60777971243e-06j),(-2.4768470715e-05+2.96043481145e-06j),(-2.02466925393e-05+2.09136906778e-06j),(-1.72708601046e-05+1.59690783053e-06j),(-1.4996317026e-05+1.16630801237e-06j),(-1.31964566887e-05+8.28490442171e-07j),(-1.17789366021e-05+5.97530994869e-07j),(-1.06626299095e-05+4.2578976389e-07j),(-9.80878280001e-06+2.71248063643e-07j),(-9.10201137418e-06+3.05001149955e-07j),(-8.39490829791e-06+2.87923390818e-07j),(-7.65300752544e-06+2.66955540091e-07j),(-7.08794964474e-06+1.79343876649e-07j),(-6.67020998443e-06+1.86859538784e-07j),(-6.28991460608e-06+1.5271747691e-07j),(-6.03638250261e-06+1.18368857884e-07j),(-5.75660539145e-06+6.16534115191e-08j),(-5.4753275367e-06+2.93109076951e-08j),
