,,(1.65845692207e-10+0.000494241445961j),(-0.000106791004113+1.37444401008e-05j),(-5.36300162207e-05+5.74666367583e-06j),(-3.76631792185e-05+3.9376275217e-06j),(-2.91745053261e-05+2.63787192091e-06j),(-2.3861351273e-05+1.81929260718e-06j),(-2.03837074069e-05+1.30063904175e-06j),(-1.77032958639e-05+8.38167751198e-07j),(-1.56177272544e-05+5.30202964285e-07j),(-1.39298844825e-05+2.96348890013e-07j),(-1.26606812504e-05+1.0165741384e-07j),(-1.16222878246e-05-5.41609714158e-08j),(-1.07804640965e-05-3.83784974388e-08j),(-9.94070707526e-06-6.22760409821e-08j),(-9.11539899593e-06-8.25495573125e-08j),(-8.49066280816e-06-1.29803539923e-07j),(-7.92780667329e-06-1.42652462585e-07j),(-7.51584926241e-06-1.78752371467e-07j),(-7.17819858968e-06-2.21304853041e-07j),(-6.88373661459e-06-2.83833589316e-07j),(-6.53813046441e-06-3.25391186154e-07j),
,,(1.15660092578e-10+0.000342222041028j),(-6.3953694642e-05+4.74115747488e-06j),(-3.36901018728e-05+6.55781278657e-06j),(-2.48129068262e-05+4.29710133977e-06j),(-1.96736032311e-05+2.87120165528e-06j),(-1.62489900283e-05+1.96597619506e-06j),(-1.39509242369e-05+1.47179799882e-06j),(-1.21398718898e-05+1.03342300255e-06j),(-1.07409981209e-05+6.71230969112e-07j),(-9.5968406988e-06+4.65515129562e-07j),(-8.73435720151e-06+2.97956567171e-07j),(-8.07646848148e-06+1.2641978526e-07j),(-7.53111962263e-06+1.60311841187e-07j),(-6.93881434585e-06+1.82670184686e-07j),(-6.27032671665e-06+1.5795472963e-07j),(-5.81958685361e-06+1.02930080412e-07j),(-5.44105554292e-06+9.65749586773e-08j),(-5.13077753767e-06+5.08953837775e-08j),(-4.94636969153e-06+4.48201065259e-09j),(-4.72888610294e-06-1.8648896836e-08j),(-4.50600857648e-06-7.77462776631e-08j),
,,(1.26525299921e-10+0.000389553212672j),(-8.585407232e-05+1.42820259381e-05j),(-4.33179007872e-05+6.05161703781e-06j),(-3.06466633979e-05+4.19435985498e-06j),(-2.40353825008e-05+2.8242269025e-06j),(-1.97618317625e-05+1.94532648751e-06j),(-1.68803485612e-05+1.45848615336e-06j),(-1.47022633185e-05+9.94121099567e-07j),(-1.29849458953e-05+6.41852328275e-07j),(-1.15888670083e-05+3.99174331646e-07j),(-1.05168817801e-05+2.29057776706e-07j),(-9.66261758793e-06+7.37367752703e-08j),(-8.97755702762e-06+7.67693017132e-08j),(-8.27938684837e-06+5.54237492243e-08j),(-7.55310805357e-06+3.18703274777e-08j),(-7.01711626875e-06-5.05752422081e-08j),(-6.55906073882e-06-4.68164312141e-08j),(-6.20465307762e-06-1.1755564812e-07j),(-5.96762987066e-06-1.63061166059e-07j),(-5.72880471564e-06-1.73184914289e-07j),(-5.4586844533e-06-2.12068257083e-07j),
,,(1.42171300143e-10+0.000390520209162j),(-6.30047419986e-05-1.62238174001e-06j),(-3.2670672588e-05+4.63196175262e-06j),(-2.41713485746e-05+3.30743331922e-06j),(-1.91072149228e-05+2.33259228639e-06j),(-1.58199632837e-05+1.64812138133e-06j),(-1.36140841408e-05+1.29064270731e-06j),(-1.18437263455e-05+9.18470880573e-07j),(-1.04639825007e-05+6.34392057096e-07j),(-9.35124959814e-06+4.25177574856e-07j),(-8.4953130658e-06+2.68639247909e-07j),(-7.86435222896e-06+1.40207869299e-07j),(-7.29127244603e-06+1.58032868561e-07j),(-6.72922259397e-06+1.56461636672e-07j),(-6.08831363696e-06+1.35349705923e-07j),(-5.6234554613e-06+8.49491214212e-08j),(-5.24420094144e-06+8.67370783072e-08j),(-4.94555608856e-06+1.54128588668e-08j),(-4.75702807771e-06-3.9493308933e-08j),(-4.58897077016e-06-9.34384228548e-08j),(-4.39039803367e-06-1.34754139733e-07j),
,,(1.49874717235e-10+0.000479503632227j),(-0.000113847539159+1.67509619208e-05j),(-5.20358004348e-05+3.73550921547e-06j),(-3.66732271998e-05+3.7119782374e-06j),(-2.86610989378e-05+2.46224660439e-06j),(-2.34814187846e-05+1.61716164253e-06j),(-2.00057366356e-05+1.16331389827e-06j),(-1.73571515439e-05+7.2207022828e-07j),(-1.52962384116e-05+4.01056547108e-07j),(-1.36523092559e-05+1.80531676105e-07j),(-1.23986762788e-05-2.52985949054e-08j),(-1.14006142721e-05-1.50288841652e-07j),(-1.05749477342e-05-1.73476445538e-07j),(-9.7761972254e-06-1.85248376093e-07j),(-8.9745199296e-06-2.0387419545e-07j),(-8.36250473743e-06-2.53876921729e-07j),(-7.82491703949e-06-2.21610285646e-07j),(-7.40294653988e-06-2.57855040461e-07j),(-7.10860205711e-06-2.90393570715e-07j),(-6.7963137607e-06-3.38119221345e-07j),(-6.4646619811e-06-3.73893548617e-07j),
,,(1.42029186496e-10+0.000468990311808j),(-0.000107251013797+2.07766120546e-05j),(-5.1315855637e-05+4.20314522189e-06j),(-3.58105830706e-05+3.65199915031e-06j),(-2.80784079945e-05+2.65682156012e-06j),(-2.29956039825e-05+1.69824252279e-06j),(-1.96083926397e-05+1.27066527188e-06j),(-1.70423049716e-05+8.32734557387e-07j),(-1.49908446847e-05+5.03038957824e-07j),(-1.34219845503e-05+2.83040530041e-07j),(-1.21659793827e-05+1.12231310018e-07j),(-1.1203990223e-05-1.67732435584e-08j),(-1.03762473579e-05+1.52698848074e-08j),(-9.57682579914e-06+3.28332859862e-09j),(-8.72802451403e-06-1.01629865614e-09j),(-8.11399834628e-06-8.41108126597e-08j),(-7.56751434574e-06-9.79975734069e-08j),(-7.14890274576e-06-1.24558713971e-07j),(-6.85771735846e-06-2.00337290959e-07j),(-6.5702448771e-06-2.38255413349e-07j),(-6.25533988512e-06-2.98498306751e-07j),
,,(1.02405989554e-10+0.000343628636001j),(-8.20021421748e-05+1.78007271588e-05j),(-4.16118897122e-05+5.84905215445e-06j),(-2.89041415502e-05+3.89686679595e-06j),(-2.25443131608e-05+2.59605966583e-06j),(-1.84770334423e-05+1.79685775855e-06j),(-1.57563028828e-05+1.34132896069e-06j),(-1.36884492172e-05+9.3299600701e-07j),(-1.20417018352e-05+5.89100670184e-07j),(-1.06929784845e-05+3.58167707949e-07j),(-9.73009438788e-06+1.71496556663e-07j),(-8.93605261116e-06+1.71876015502e-08j),(-8.30049366874e-06+2.50354637089e-08j),(-7.62899561417e-06-3.56390242778e-08j),(-6.96754893396e-06-8.55533605077e-08j),(-6.49346190744e-06-1.65361670193e-07j),(-6.09162182084e-06-1.7551246721e-07j),(-5.79014502892e-06-2.1254884095e-07j),(-5.55534665869e-06-2.26154208681e-07j),(-5.34520168439e-06-2.73381260135e-07j),(-5.09963244802e-06-3.21133225794e-07j),
,,(8.23111038666e-11+0.000302860213313j),(-8.24343269533e-05+2.46722267599e-05j),(-4.28847237389e-05+7.115913768e-06j),(-2.9540379373e-05+4.5265879288e-06j),(-2.30161858869e-05+3.02142034178e-06j),(-1.87993212812e-05+2.09423797127e-06j),(-1.60539809975e-05+1.59739012156e-06j),(-1.3941068976e-05+1.14006398811e-06j),(-1.22779391617e-05+7.78690757749e-07j),(-1.09488374562e-05+5.23339740802e-07j),(-9.94963418066e-06+3.51327741e-07j),(-9.15674195987e-06+2.2427353502e-07j),(-8.4890153056e-06+1.99268821905e-07j),(-7.83013166756e-06+1.76455204921e-07j),(-7.1404300537e-06+1.37069427487e-07j),(-6.63034187481e-06+9.91812142149e-08j),(-6.20840318195e-06+8.12395840021e-08j),(-5.8789194146e-06+5.43193520754e-08j),(-5.62071836223e-06+1.40369363713e-08j),(-5.37753003833e-06-3.58936393866e-08j),(-5.13619094547e-06-6.30979134494e-08j),
,,(8.45294999537e-11+0.000289323108057j),(-6.92669081793e-05+2.11390337092e-05j),(-3.75236428978e-05+7.15974342535e-06j),(-2.6277768404e-05+4.36577670418e-06j),(-2.0608511168e-05+2.83705398687e-06j),(-1.69241577376e-05+1.93580500737e-06j),(-1.45232622171e-05+1.4584604167e-06j),(-1.26259768721e-05+9.94581009005e-07j),(-1.11447323067e-05+6.88016174526e-07j),(-9.93708649778e-06+4.27025226461e-07j),(-9.02984428132e-06+3.01008867482e-07j),(-8.3163477782e-06+1.62459049041e-07j),(-7.69934186715e-06+1.46094695405e-07j),(-7.07922237089e-06+1.41598197087e-07j),(-6.46557991455e-06+1.00726118058e-07j),(-6.00249516327e-06+3.05394336096e-08j),(-5.63331797967e-06+2.78923158963e-08j),(-5.34094473956e-06+9.1283256643e-09j),(-5.14149804082e-06-5.08070671396e-08j),(-4.92775819935e-06-1.08794288986e-07j),(-4.71310598245e-06-1.25377981576e-07j),
,,(8.80257075248e-11+0.000310073737379j),(-7.25305334808e-05+1.811550327e-05j),(-3.79356236954e-05+6.86245196835e-06j),(-2.65930903552e-05+4.15498065934e-06j),(-2.0833218929e-05+2.71939819811e-06j),(-1.70870271767e-05+1.8932497373e-06j),(-1.46550894899e-05+1.41018284963e-06j),(-1.27656198182e-05+9.89498727875e-07j),(-1.12647023526e-05+6.62757456881e-07j),(-1.00513187981e-05+4.38533943269e-07j),(-9.10740277183e-06+2.90864875338e-07j),(-8.39936502323e-06+1.62294631569e-07j),(-7.77731046584e-06+1.81972059981e-07j),(-7.19148514199e-06+1.58267406126e-07j),(-6.52670244935e-06+1.05564726529e-07j),(-6.04808816629e-06+4.15219912188e-08j),(-5.65621733372e-06+5.57797801279e-08j),(-5.35940097752e-06+9.05334144557e-09j),(-5.12885084393e-06-4.90985208518e-08j),(-4.9117916286e-06-6.7954538416e-08j),(-4.6759563103e-06-1.1764145206e-07j),
,,(9.17958774252e-11+0.000322606671983j),(-7.83916028638e-05+2.06489499786e-05j),(-4.13921439086e-05+6.69065356815e-06j),(-2.87183179395e-05+4.20147120225e-06j),(-2.24410729869e-05+2.7492042186e-06j),(-1.84040497915e-05+1.89256243439e-06j),(-1.5762019825e-05+1.42999067061e-06j),(-1.37032885796e-05+9.98777029903e-07j),(-1.20927178747e-05+6.78774993392e-07j),(-1.07795266304e-05+4.31184855057e-07j),(-9.773020794e-06+2.99559546438e-07j),(-9.00016669652e-06+1.60845347876e-07j),(-8.35362551956e-06+1.7076309115e-07j),(-7.71212105465e-06+1.61290249674e-07j),(-7.0231232867e-06+1.14506899569e-07j),(-6.50665674025e-06+6.60856195874e-08j),(-6.09246719571e-06+8.71239738489e-08j),(-5.74557247194e-06+3.044609897e-08j),(-5.5165966122e-06-4.4452135346e-08j),(-5.28660416751e-06-1.08864085484e-07j),(-5.02911059097e-06-1.20870543507e-07j),
,,(9.46931542933e-11+0.000324180458837j),(-7.54790082062e-05+2.08723458447e-05j),(-3.97926283806e-05+6.55404382169e-06j),(-2.76415885683e-05+4.13040165086e-06j),(-2.16003524777e-05+2.68061645342e-06j),(-1.77361910902e-05+1.8493599095e-06j),(-1.52116479096e-05+1.38708304146e-06j),(-1.32101928011e-05+9.5883222656e-07j),(-1.16554910668e-05+6.75223204286e-07j),(-1.03645843431e-05+3.93606428237e-07j),(-9.43410758284e-06+2.49526640965e-07j),(-8.68071451772e-06+1.03400932713e-07j),(-8.06634390323e-06+1.22638558892e-07j),(-7.44214658781e-06+1.06997426794e-07j),(-6.77639279768e-06+6.77094532761e-08j),(-6.31629955331e-06+1.32543616925e-08j),(-5.89155417163e-06+1.19097421704e-08j),(-5.55132425951e-06-1.47922166547e-08j),(-5.30120506892e-06-6.85637922954e-08j),(-5.09194804536e-06-1.19901422789e-07j),(-4.85949546115e-06-1.83772961684e-07j),
,,(1.39020969682e-10+0.000434687069516j),(-9.37253495998e-05+6.72617920635e-06j),(-4.25696895752e-05+4.3921266654e-06j),(-3.07782359786e-05+3.58972014272e-06j),(-2.41085795125e-05+2.52441495042e-06j),(-1.97368449153e-05+1.74163210087e-06j),(-1.68635940112e-05+1.38868332669e-06j),(-1.46443157361e-05+9.43382168352e-07j),(-1.28887276338e-05+6.48683636356e-07j),(-1.14917257189e-05+4.14973829151e-07j),(-1.04309436311e-05+2.38832492878e-07j),(-9.58405384593e-06+9.71603728066e-08j),(-8.90837399488e-06+1.05402514281e-07j),(-8.19512693886e-06+1.13480341883e-07j),(-7.479567902e-06+5.1329921906e-08j),(-6.95642154971e-06+1.07136328741e-08j),(-6.52625607691e-06+2.40742597694e-10j),(-6.1443845571e-06-3.23128955476e-08j),(-5.91314820352e-06-6.82726875605e-08j),(-5.67046558774e-06-9.97910971934e-08j),(-5.40828947404e-06-1.56061533938e-07j),
,,(1.44615430846e-10+0.000436243863074j),(-9.08980325055e-05+3.64898132333e-06j),(-4.16566949254e-05+3.64868945439e-06j),(-3.02903488678e-05+3.15904017894e-06j),(-2.37379490272e-05+2.10529492404e-06j),(-1.94655150074e-05+1.36749249508e-06j),(-1.66877370621e-05+1.01972446602e-06j),(-1.45211234393e-05+6.51123000336e-07j),(-1.28168933799e-05+3.90094262709e-07j),(-1.14400602978e-05+2.00411378784e-07j),(-1.03909423889e-05+5.65960742617e-08j),(-9.56543117908e-06-5.71668100183e-08j),(-8.87529810583e-06-5.80304696964e-08j),(-8.17179354413e-06-7.7225706084e-08j),(-7.47801096041e-06-1.2079774525e-07j),(-6.9619488402e-06-1.860043575e-07j),(-6.53255917362e-06-1.60675438265e-07j),(-6.17596176333e-06-1.85667259684e-07j),(-5.92651300761e-06-2.15245805091e-07j),(-5.67076876989e-06-2.2810185677e-07j),(-5.41536046948e-06-2.61469977491e-07j),
,,(1.39520790417e-10+0.000420740890502j),(-8.81942354511e-05+3.98226917738e-06j),(-3.92688130941e-05+3.62644455463e-06j),(-2.9169378627e-05+2.95764957132e-06j),(-2.28774204051e-05+1.96115651271e-06j),(-1.88071717713e-05+1.26919759456e-06j),(-1.6154239626e-05+9.18831862928e-07j),(-1.40470614564e-05+5.33008600321e-07j),(-1.24189549579e-05+2.8051673458e-07j),(-1.10996159631e-05+6.84747305866e-08j),(-1.00935113009e-05-6.57195338496e-08j),(-9.28829954581e-06-1.78667108214e-07j),(-8.65407106944e-06-1.33163381288e-07j),(-7.9610008422e-06-1.30637220561e-07j),(-7.25375036459e-06-1.54690413686e-07j),(-6.73534968379e-06-2.3011589457e-07j),(-6.31783662637e-06-2.20258511174e-07j),(-5.98201529297e-06-2.56276641604e-07j),(-5.76166071545e-06-2.97967196251e-07j),(-5.52422043917e-06-3.24263915306e-07j),(-5.26931308174e-06-3.64308390228e-07j),
,,(1.4231975034e-10+0.000434062438908j),(-9.5087630476e-05+6.38231914653e-06j),(-4.20266646526e-05+3.86066678338e-06j),(-3.10331521897e-05+3.29422493242e-06j),(-2.42948988161e-05+2.24576631003e-06j),(-1.98905301733e-05+1.50534121752e-06j),(-1.70347660129e-05+1.11887425433e-06j),(-1.48078901689e-05+6.92705951511e-07j),(-1.30844421189e-05+4.20525780544e-07j),(-1.16684578716e-05+2.02095819494e-07j),(-1.05899303171e-05+4.39300600431e-08j),(-9.7440409478e-06-8.95143697069e-08j),(-9.0618976166e-06-8.6472122009e-08j),(-8.37218082435e-06-5.6235334778e-08j),(-7.6307037727e-06-9.17537410739e-08j),(-7.10063898122e-06-1.36158144958e-07j),(-6.63180821668e-06-1.25215007722e-07j),(-6.26740402998e-06-1.52593922231e-07j),(-6.03420039891e-06-1.85504898385e-07j),(-5.76360428997e-06-2.30992876665e-07j),(-5.47938079977e-06-2.72635320082e-07j),
