Flugel,,0.00399408956887,0.0650104413744 0.0479756085804,-0.0604583669079 0.0139146510168,-0.0193348219776 -0.0200361990537,0.00948737525696 -0.00233059177805,-0.00053687389017 -0.00510119117844,0.0135265617455 0.0150788784296,-0.0074897845412 0.0195097804134,-0.0117076559619 -0.00286436410769,0.00212917084609 -0.00138197157002,-0.00067333823853 -0.000142847403562,
Flugel,,0.00278673063177,0.0652718140255 0.0507704050471,-0.0613961640856 0.012948342882,-0.0189006013303 -0.0257277715088,0.00924372894782 -0.000299519825235,0.000204370584587 -0.00618912446891,0.0138630974683 0.0182632467371,-0.010398283986 0.0225031151978,-0.0130537658347 -0.00466065621624,0.00274888032661 -0.00189792020228,-0.000608874224987 -7.2781517879e-05,
Flugel,,0.00332235474091,0.0665728263072 0.0457698001099,-0.0587691150063 0.0173843459806,-0.0193844711434 -0.0158326671187,0.00721235831563 -0.00248033534373,-0.00224949716654 -0.00315274148957,0.0141863655492 0.0104488709234,-0.00355301298056 0.0177327062742,-0.00983854686849 0.00110467558507,0.00142697662703 -0.00132665819492,-0.00116402316953 0.00036913389527,
Flugel,,0.00351126203085,0.0648500690773 0.0518573294955,-0.0617852826021 0.0107049103524,-0.0178366735418 -0.0320031598523,0.0127088106049 0.00403401352159,0.00554653718433 -0.00537577036176,0.0105648714974 0.0231505999331,-0.0145348681617 0.0212610747067,-0.0129203987336 -0.00894118410674,0.0039559787143 -0.00192349200679,-0.000288013295265 0.000144745805886,
Flugel,,0.00294802125439,0.0664436372652 0.0469777799447,-0.060101159482 0.016694627907,-0.0208624903893 -0.0207328357881,0.00815753674494 -0.00125282227078,-0.000381380096301 -0.00466601974983,0.0142312707457 0.0149126429309,-0.0056933139136 0.0203973218721,-0.0114802318365 -0.00119914454894,0.00169745728131 -0.0015354834734,-0.000709431678578 0.000362418988502,
Flugel,,0.00405605301665,0.0656964745194 0.0503946170705,-0.0604326689888 0.0129034997548,-0.0186251753322 -0.0247595384297,0.00919120990898 -3.65199432856e-05,0.00212351381859 -0.00519537832312,0.0118263125732 0.0180317099982,-0.00951199043649 0.0203775625643,-0.0140513739178 -0.00432500079325,0.00258919690737 -0.00192736207381,-0.000674689611702 0.000195344527571,
Flugel,,0.00362660223082,0.0649764340844 0.0494920098859,-0.0619201821403 0.0134230009517,-0.0195259398922 -0.0268924982727,0.0100990277328 -0.000720730485931,0.00131188946188 -0.00600213560153,0.0139279979285 0.0172980881345,-0.00778034959207 0.0200818900808,-0.0128929804234 -0.00248752650029,0.00233664755465 -0.00129396257185,-0.00115057727626 1.62093827354e-05,
Flugel,,0.00220643250231,0.0647975093026 0.0513298558593,-0.0629225091522 0.0127784799091,-0.0196711161961 -0.0323440596134,0.0125097390832 0.00298728400203,0.0039734435465 -0.00754975873093,0.0122964900294 0.0231742498293,-0.0137087743647 0.0228663885951,-0.0119143897718 -0.00826280923407,0.00500308220271 -0.00154017407853,0.000102801944983 0.000248171016813,
Flugel,,0.00328568723252,0.0649835996483 0.0514120258332,-0.0618792648418 0.0109934745785,-0.017659532307 -0.030712945094,0.0113150495288 0.00318877107395,0.00409791362075 -0.00717730022924,0.0105988678788 0.0224950970905,-0.014251961479 0.0207574188315,-0.0112196285203 -0.00727553503132,0.004325777298 -0.000114327799299,-0.000451497130494 0.000620490119168,
Flugel,,0.00279891445619,0.0659955819514 0.0471390074901,-0.0603367214484 0.0173793712081,-0.0198243369509 -0.0164736257413,0.00668120279523 -0.0028398078166,-0.00441056270664 -0.00338461650192,0.0150613601154 0.0102259895075,-0.00247183045737 0.0160871943601,-0.00997110166965 0.000403883082694,0.000762848533845 -0.00155618261772,-0.00111139082448 -0.000694677541154,
Flugel,,0.00338315782448,0.0651821432471 0.0519575178015,-0.0619375098599 0.0105435244736,-0.0174988895619 -0.0321043400462,0.0111737787617 0.00433451164443,0.00319682821999 -0.00497947439253,0.00935386587618 0.0221510700962,-0.0118444599668 0.0198091826394,-0.0118983765197 -0.00767712207348,0.00365540901604 -0.0010950886477,0.000303852229942 0.000153285102358,
Flugel,,0.00307206418554,0.0657924065028 0.0489992378004,-0.0610817572767 0.0148348344579,-0.0197361357908 -0.0222561072347,0.00827820370441 -0.00118807775294,-0.00136103974501 -0.00509248933152,0.0142384506823 0.0150069360448,-0.00480179639291 0.019658792116,-0.0118174755793 -0.000921697713584,0.00177823118874 -0.000992879249494,-0.00115017023213 0.000165048585883,
Flugel,,0.00380437002437,0.0653561974984 0.0510009434137,-0.0612955717342 0.0109881394368,-0.0188582087051 -0.0290674818677,0.0105822039144 0.00260171379905,0.00508681443304 -0.00469715466349,0.00855126350687 0.0215145539079,-0.013695655457 0.0195971943139,-0.0108291500458 -0.00649971271891,0.00342325230454 -0.00111953695912,-0.000535743632781 0.000483218502855,
Flugel,,0.00298909814626,0.0676924262553 0.04518506661,-0.0585454450185 0.0190292146926,-0.0207361418761 -0.0160633769078,0.00527115543162 -0.00332229788847,-0.00366059493664 -0.00234093278591,0.0133010231269 0.00993313210197,-0.00123325195333 0.0167991182329,-0.00917120487645 0.00188932819426,0.0011960836343 -0.000557734825142,-0.0012514996836 0.000901920679531,
Flugel,,0.0030298269297,0.0661043856214 0.0499017550915,-0.0609195650967 0.0128741214761,-0.0196208444328 -0.0297976655007,0.0115427731463 0.0031888834074,0.00443928289823 -0.00545441177457,0.0104717896459 0.0207523757635,-0.0109980714663 0.0187827606975,-0.010169977154 -0.00524228619477,0.00325860958168 -0.000360023963339,-0.000576085671328 0.000501781110167,
Flugel,,0.00322546433125,0.0667115006594 0.0466073780088,-0.0601224339296 0.0192274648853,-0.0216376643751 -0.0199358521859,0.00740982151341 -0.00179773250395,-0.00223209703917 -0.0043359262117,0.0160454024729 0.0120801078572,-0.00217458051025 0.0191337294888,-0.0124010995878 0.000987834460114,0.00151310672556 -0.00227303183679,-0.0012135047304 0.00036060242418,
Flugel,,0.00322975767848,0.0659140039113 0.0496250555534,-0.0613557330326 0.0138729012066,-0.0196578512121 -0.0278032200781,0.00975637501211 0.00105273947753,0.00268374976114 -0.00539154470016,0.0132374576922 0.0194276969838,-0.0109501444173 0.0226868769619,-0.0129824978478 -0.00533439858544,0.00345174723735 -0.0018996196073,-0.000202277883298 0.000181747699442,
Flugel,,0.0037712996451,0.0641963306267 0.0520720284908,-0.0618449935682 0.00978162382554,-0.0162084932121 -0.0331121356931,0.0115569860672 0.0044369137696,0.00567304125201 -0.0059728398013,0.00860877250217 0.0227513617442,-0.0166424626935 0.0185961308148,-0.00935082936248 -0.00879244445557,0.00455797055418 -0.000128413233546,0.000102601736035 0.000604692719099,
Flugel,,0.00274983105059,0.0654778499555 0.0501688077926,-0.0623284761459 0.0132962432714,-0.019996476141 -0.0286474905776,0.0107823506017 0.00118477899805,0.00322678374824 -0.0061661340456,0.0137612836313 0.019496531064,-0.0104518574828 0.0235135761283,-0.0128612517821 -0.00476752126824,0.0039126995818 -0.00182607990916,-0.000604942578647 0.000220552445131,
Flugel,,0.00350197911732,0.0660136558097 0.0495041861508,-0.0617917065872 0.0148627220175,-0.0209488289429 -0.0276966649568,0.00940125245855 0.000741065372544,0.000405812254691 -0.00600604744832,0.0138945204532 0.0177022493635,-0.00718001373935 0.0204742063617,-0.0130004315778 -0.00210886675296,0.00252327133268 -0.00187908253397,-0.000526321254885 0.00037361750024,
