Cancer,,(1.87813993928e-10+0.000530859589452j),(-0.000101587822217-5.21134607316e-07j) (0.000101588056455-5.20961109738e-07j),(-5.03608692122e-05+4.21333571591e-06j) (5.03609794276e-05+4.21350693775e-06j),(-3.58063500132e-05+3.14830719381e-06j) (3.58064059497e-05+3.14844497451e-06j),(-2.78140256429e-05+2.07019228444e-06j) (2.78140574537e-05+2.07030320503e-06j),(-2.28010628409e-05+1.37508498264e-06j) (2.28010824608e-05+1.37517692622e-06j),(-1.9468523401e-05+9.58598816219e-07j) (1.94685361404e-05+9.58677149062e-07j),(-1.68875135888e-05+5.552689371e-07j) (1.68875219584e-05+5.55337315157e-07j),(-1.49161341684e-05+2.95333631815e-07j) (1.49161393346e-05+2.95394403265e-07j),(-1.32825191299e-05+7.74126205781e-08j) (1.32825218688e-05+7.74670293863e-08j),(-1.20628726972e-05-1.04512865226e-07j) (1.20628739546e-05-1.04463642057e-07j),
Cancer,,(1.19151911104e-10+0.000400097784273j),(-9.29578566478e-05+1.33161132077e-05j) (9.29579906176e-05+1.33162216599e-05j),(-4.3107985046e-05+5.17648534886e-06j) (4.31080467152e-05+5.17658648653e-06j),(-3.08682513785e-05+3.79480492269e-06j) (3.08682822783e-05+3.79488714405e-06j),(-2.41785276892e-05+2.47377676224e-06j) (2.41785439575e-05+2.47384363985e-06j),(-1.98167429954e-05+1.69480558766e-06j) (1.98167516669e-05+1.69486124671e-06j),(-1.69275182501e-05+1.26614763574e-06j) (1.69275227526e-05+1.26619517207e-06j),(-1.47046075907e-05+8.10726633186e-07j) (1.47046094743e-05+8.10768432548e-07j),(-1.29663516445e-05+4.98239170438e-07j) (1.29663514073e-05+4.98276758256e-07j),(-1.15581275104e-05+2.87650368095e-07j) (1.15581253937e-05+2.8768436723e-07j),(-1.05018707145e-05+9.60420549743e-08j) (1.05018672406e-05+9.60729896287e-08j),
Cancer,,(1.08965319683e-10+0.000375027043395j),(-8.57499732251e-05+1.77239598596e-05j) (8.57500973346e-05+1.77240559854e-05j),(-4.16563976643e-05+5.10120731747e-06j) (4.16564578041e-05+5.10129956698e-06j),(-2.94858985121e-05+3.75572330733e-06j) (2.94859295289e-05+3.75579961886e-06j),(-2.32055169474e-05+2.41051204095e-06j) (2.32055337397e-05+2.41057465885e-06j),(-1.90511779194e-05+1.58581677204e-06j) (1.90511871244e-05+1.58586910288e-06j),(-1.6320283607e-05+1.16309196757e-06j) (1.63202885137e-05+1.1631366597e-06j),(-1.41865437291e-05+7.71198160532e-07j) (1.41865459309e-05+7.71237258218e-07j),(-1.2513650321e-05+4.68127847195e-07j) (1.2513650475e-05+4.68162722189e-07j),(-1.11785350096e-05+2.40807380201e-07j) (1.11785334692e-05+2.40838644532e-07j),(-1.01495432329e-05+8.98726168419e-08j) (1.0149540566e-05+8.99008232511e-08j),
Cancer,,(1.27274208158e-10+0.000386513260397j),(-7.54504657842e-05+6.30229326109e-06j) (7.54506176877e-05+6.30240904147e-06j),(-3.82787769341e-05+4.97805345771e-06j) (3.82788468395e-05+4.97816714465e-06j),(-2.71171604861e-05+3.72605167589e-06j) (2.71171944727e-05+3.72614327951e-06j),(-2.13657927253e-05+2.46927757626e-06j) (2.13658105396e-05+2.46935145584e-06j),(-1.75595173534e-05+1.741271467e-06j) (1.7559527002e-05+1.74133263344e-06j),(-1.50801229221e-05+1.33607752761e-06j) (1.50801281027e-05+1.33612962136e-06j),(-1.31226395295e-05+9.48854273259e-07j) (1.31226419104e-05+9.48899921211e-07j),(-1.15723348926e-05+6.82592066029e-07j) (1.15723350496e-05+6.82632976167e-07j),(-1.03153087941e-05+4.86773290766e-07j) (1.03153069658e-05+4.8681019178e-07j),(-9.32802716041e-06+3.20481519092e-07j) (9.32802389228e-06+3.20514964705e-07j),
1,,(1.20568898518e-10+0.000437354407604j),(-0.000110366217853+3.25823609727e-05j) (0.000110366355208+3.25824659327e-05j),(-5.62591603727e-05+5.67372440783e-06j) (5.62592289656e-05+5.6738250221e-06j),(-3.76090059087e-05+4.18705908478e-06j) (3.76090425509e-05+4.18714206924e-06j),(-2.94267253887e-05+3.13871286544e-06j) (2.94267466259e-05+3.1387806372e-06j),(-2.41547185163e-05+2.12350280752e-06j) (2.4154731825e-05+2.12355918391e-06j),(-2.05638099706e-05+1.60410123472e-06j) (2.05638189614e-05+1.60414931741e-06j),(-1.79005198906e-05+1.10371044307e-06j) (1.79005262187e-05+1.10375256649e-06j),(-1.57558277279e-05+7.64908968294e-07j) (1.57558320639e-05+7.64946653421e-07j),(-1.40871228286e-05+5.27213541743e-07j) (1.40871255526e-05+5.27247489705e-07j),(-1.27698954075e-05+3.58777906278e-07j) (1.27698971525e-05+3.5880877808e-07j),
1,,(1.83988370669e-10+0.000533588053013j),(-0.000118377477706+8.29066391871e-06j) (0.000118377701701+8.29083362925e-06j),(-5.61957359812e-05+3.4808805595e-06j) (5.61958415229e-05+3.48104548102e-06j),(-3.96047177439e-05+3.27239645153e-06j) (3.96047708851e-05+3.27252931055e-06j),(-3.0685546488e-05+2.21403791734e-06j) (3.06855762124e-05+2.21414441433e-06j),(-2.50975179761e-05+1.50559180134e-06j) (2.50975360974e-05+1.50567951874e-06j),(-2.14004940393e-05+1.09829829116e-06j) (2.14005058578e-05+1.09837255148e-06j),(-1.8578008626e-05+6.85523274453e-07j) (1.85780166039e-05+6.85587777855e-07j),(-1.63662675004e-05+4.20359628613e-07j) (1.63662727515e-05+4.20416777487e-07j),(-1.46186591242e-05+2.12517234104e-07j) (1.46186622801e-05+2.12568357805e-07j),(-1.32056835348e-05+3.62902879565e-08j) (1.3205685373e-05+3.63364694167e-08j),
1,,(1.25199046325e-10+0.000433994210191j),(-0.000112639784133+2.64395042587e-05j) (0.000112639921384+2.64396189003e-05j),(-5.6388789015e-05+7.26387711166e-06j) (5.63888506197e-05+7.26398111743e-06j),(-3.8454722781e-05+4.58207162744e-06j) (3.84547542991e-05+4.5821541984e-06j),(-2.97767853502e-05+3.0187527562e-06j) (2.97768034133e-05+3.01881978274e-06j),(-2.43208024045e-05+2.02192947084e-06j) (2.43208133065e-05+2.02198579296e-06j),(-2.07004665874e-05+1.49140532323e-06j) (2.07004731889e-05+1.49145402213e-06j),(-1.79925264763e-05+9.95903565032e-07j) (1.79925300937e-05+9.95946778504e-07j),(-1.58285045519e-05+6.53472165153e-07j) (1.58285056608e-05+6.53511200133e-07j),(-1.41101792773e-05+4.15845193386e-07j) (1.41101781734e-05+4.15880539721e-07j),(-1.27893331857e-05+2.45132905234e-07j) (1.27893304485e-05+2.4516499584e-07j),
1,,(1.91007692337e-10+0.000567007308885j),(-0.000130027321268+1.20676170168e-05j) (0.000130027550925+1.2067794254e-05j),(-6.16448018066e-05+4.81698796848e-06j) (6.16449091769e-05+4.81715754725e-06j),(-4.32134472531e-05+3.83479232604e-06j) (4.32135017844e-05+3.83492867901e-06j),(-3.33372995919e-05+2.5746248543e-06j) (3.33373303734e-05+2.57473442833e-06j),(-2.72205453423e-05+1.77299503171e-06j) (2.72205642604e-05+1.77308559453e-06j),(-2.31794673904e-05+1.34934946372e-06j) (2.31794797768e-05+1.3494264459e-06j),(-2.0114010391e-05+8.8027153922e-07j) (2.0114018735e-05+8.80338704957e-07j),(-1.77203686123e-05+6.11292662505e-07j) (1.77203739942e-05+6.11352476429e-07j),(-1.57990727481e-05+3.66316919236e-07j) (1.57990757719e-05+3.66370675753e-07j),(-1.43220544028e-05+1.89084396036e-07j) (1.43220558869e-05+1.89133178211e-07j),
2,,(1.0823529356e-10+0.000318347579235j),(-5.73996665783e-05+4.00996436701e-06j) (5.73997968198e-05+4.01006074347e-06j),(-2.97478651721e-05+4.80709031834e-06j) (2.97479268133e-05+4.8071869196e-06j),(-2.17348672724e-05+3.01518251092e-06j) (2.17348976611e-05+3.01526163159e-06j),(-1.70268129269e-05+2.00190598374e-06j) (1.70268287682e-05+2.00197025707e-06j),(-1.39883807113e-05+1.4275900499e-06j) (1.39883890213e-05+1.42764353867e-06j),(-1.20347317051e-05+1.12634514911e-06j) (1.20347356995e-05+1.12639074427e-06j),(-1.04880115017e-05+8.0296016449e-07j) (1.04880127267e-05+8.0299994646e-07j),(-9.23741078243e-06+5.47342874654e-07j) (9.23740990655e-06+5.47378173482e-07j),(-8.21674657077e-06+3.63722405595e-07j) (8.2167440369e-06+3.63753804717e-07j),(-7.44961017165e-06+2.22627368577e-07j) (7.4496066693e-06+2.22655473774e-07j),
2,,(4.84150480762e-11+0.000146066840232j),(-2.42902112337e-05+6.79670696245e-06j) (2.42902619136e-05+6.79674541193e-06j),(-1.50275159715e-05+5.29936273671e-06j) (1.50275390819e-05+5.29940029611e-06j),(-1.14153110167e-05+3.06809052046e-06j) (1.14153226303e-05+3.06812040612e-06j),(-9.28859498327e-06+1.86687623653e-06j) (9.28860168615e-06+1.86690043608e-06j),(-7.74609280978e-06+1.2326266009e-06j) (7.74609695904e-06+1.2326469971e-06j),(-6.83006038023e-06+9.33748211041e-07j) (6.8300629878e-06+9.33765977317e-07j),(-5.97380842216e-06+6.24872466382e-07j) (5.97380988337e-06+6.24888418914e-07j),(-5.30388686852e-06+3.84718234725e-07j) (5.30388722489e-06+3.84732846637e-07j),(-4.71734306367e-06+2.2466971459e-07j) (4.71734230776e-06+2.24682937393e-07j),(-4.32937027245e-06+1.34749992311e-07j) (4.32936881422e-06+1.34761864158e-07j),
3,,(4.92235739819e-11+0.000146085098369j),(-1.8558410951e-05+3.2472381597e-06j) (1.85584657195e-05+3.24727721003e-06j),(-1.25082042587e-05+4.23829888435e-06j) (1.2508229958e-05+4.23833969872e-06j),(-9.66258790582e-06+2.51088540985e-06j) (9.66260015764e-06+2.51091874193e-06j),(-7.89556470235e-06+1.58520663245e-06j) (7.8955708999e-06+1.58523376949e-06j),(-6.62480424375e-06+1.05588448099e-06j) (6.6248072795e-06+1.05590718674e-06j),(-5.84800505039e-06+8.33758135471e-07j) (5.84800629651e-06+8.337776418e-07j),(-5.13772949025e-06+5.5045856266e-07j) (5.13772954907e-06+5.50475806734e-07j),(-4.53949101515e-06+3.22296851599e-07j) (4.53949007738e-06+3.22312443934e-07j),(-4.06555037167e-06+1.53598670326e-07j) (4.06554847757e-06+1.53612761802e-07j),(-3.69996245861e-06+8.32417225951e-08j) (3.69995991429e-06+8.32544671044e-08j),
3,,(4.81298405655e-11+0.000129456154653j),(-1.97585880314e-05+3.33609476792e-06j) (1.9758639754e-05+3.33613299829e-06j),(-1.29364836752e-05+4.78464047877e-06j) (1.29365071391e-05+4.78467862995e-06j),(-9.85693412607e-06+2.87760836299e-06j) (9.85694592727e-06+2.8776385886e-06j),(-8.04836266576e-06+1.91030122447e-06j) (8.04836970366e-06+1.91032579489e-06j),(-6.73464066147e-06+1.3966228334e-06j) (6.73464520628e-06+1.39664383412e-06j),(-5.92213982448e-06+1.15534047904e-06j) (5.92214272766e-06+1.15535911893e-06j),(-5.18783009268e-06+8.57623558805e-07j) (5.18783164318e-06+8.5764055169e-07j),(-4.58497793495e-06+6.41726504593e-07j) (4.5849782096e-06+6.41742230306e-07j),(-4.07811802559e-06+4.82544501603e-07j) (4.07811708505e-06+4.82558958053e-07j),(-3.72267056295e-06+3.89004018795e-07j) (3.72266869268e-06+3.89017326141e-07j),
3,,(2.38392102184e-11+5.81319015373e-05j),(-9.89363282305e-06+7.03246648528e-06j) (9.89365397711e-06+7.03247823537e-06j),(-8.21069282245e-06+4.81541773461e-06j) (8.2107054566e-06+4.81542946321e-06j),(-6.68659295054e-06+2.76841958512e-06j) (6.68660231051e-06+2.76842886594e-06j),(-5.61055751879e-06+1.75388848444e-06j) (5.61056589535e-06+1.75389631857e-06j),(-4.75132428823e-06+1.17816370138e-06j) (4.75133224088e-06+1.17817102508e-06j),(-4.2518006548e-06+9.29148856959e-07j) (4.25180826448e-06+9.29156189404e-07j),(-3.75588077009e-06+6.45051059362e-07j) (3.75588788731e-06+6.4505874932e-07j),(-3.34584008183e-06+4.34049491452e-07j) (3.34584635786e-06+4.34057690352e-07j),(-2.98499328463e-06+2.74525529247e-07j) (2.98499837055e-06+2.74533906282e-07j),(-2.73068855202e-06+1.8564101489e-07j) (2.7306925798e-06+1.85649237905e-07j),
3,,(1.79124905227e-11+4.96626866628e-05j),(-8.51970424875e-06+7.39411787594e-06j) (8.51971554556e-06+7.39412698951e-06j),(-7.51003448878e-06+4.81016981876e-06j) (7.51003919023e-06+4.81017942081e-06j),(-6.19887023128e-06+2.81306236448e-06j) (6.19887204509e-06+2.81307034863e-06j),(-5.24609747754e-06+1.85182348383e-06j) (5.24609814766e-06+1.85183047843e-06j),(-4.42393984331e-06+1.30385286445e-06j) (4.42393971461e-06+1.30385946736e-06j),(-3.96301894884e-06+1.05415574952e-06j) (3.96301812054e-06+1.05416216415e-06j),(-3.47874890842e-06+7.90648226405e-07j) (3.47874733362e-06+7.90654632635e-07j),(-3.0985458141e-06+5.72277888219e-07j) (3.09854330323e-06+5.72284293367e-07j),(-2.76766182144e-06+4.02545452337e-07j) (2.76765824784e-06+4.02551546954e-07j),(-2.52503795701e-06+3.06270099535e-07j) (2.52503354478e-06+3.06275660162e-07j),
